PRN,Elevation_deg,Azimuth_deg,Category
G13,69.7909525302456,179.640532378149,> 15°
G20,69.4726626468199,210.845176937519,> 15°
G11,57.9551362940368,80.7192190395372,> 15°
G05,50.684207563293,336.523979337399,> 15°
G21,46.0172740256867,23.1533006332526,> 15°
G15,41.4246557597413,226.9304565856,> 15°
G29,33.1084943206445,306.554037046779,> 15°
G30,22.0720773235342,82.3964542738828,> 15°
G06,21.8061162750172,113.899646737777,> 15°
G07,7.19892390737149,53.0770854060873,0° ~ 15°
G12,5.01995136088088,220.260446593534,0° ~ 15°
G19,0.311564687653179,155.606061448513,0° ~ 15°
G25,0.0315954387993828,254.791190654669,0° ~ 15°
G24,-1.62165625871912,195.074394135737,< 0°
G18,-7.83090333184744,308.72736248333,< 0°
G23,-9.70195593797946,258.90903795258,< 0°
G09,-15.3519959355426,37.8937448582236,< 0°
G22,-17.2222949224668,134.543751180331,< 0°
G17,-18.5706958341739,148.347392496819,< 0°
G14,-18.7800435188204,118.909834765707,< 0°
G26,-19.497245402113,327.884389010047,< 0°
G16,-23.5002859307573,355.829588958462,< 0°
G10,-34.4912851127255,240.59972883965,< 0°
G04,-39.6706524916177,33.8701084275764,< 0°
G31,-46.2685759248505,317.528401346179,< 0°
G03,-48.7270569138075,103.189563719359,< 0°
G28,-49.6596583571195,286.227392881727,< 0°
G27,-53.2191048214175,0.932677530966248,< 0°
G32,-53.6544192592265,219.798902497572,< 0°
G01,-54.3887031565368,144.891508891658,< 0°
G08,-65.8366465717315,39.4794662229467,< 0°
G02,-73.7146236434835,171.841953964092,< 0°
